,R0,LatentPeriod,RemovalPeriod,HospPeriod,DeathICUPeriod,DeathNoICUPeriod
0,4.496714153011233,5.399355436586002,4.324821725025618,6.0921924421226095,9.136506395035067,1.5762403179772968
1,3.861735698828815,4.924633682912769,4.8554813292844825,7.139614989220498,9.968796511060916,1.546585891616146
2,4.6476885381006925,4.059630369920174,4.207580079000039,7.586394466578356,10.018016872044447,0.20435682736998495
3,5.523029856408026,3.353063222294426,4.69203847036096,9.88768765734019,10.472630345843406,1.6699098082985628
4,3.765846625276664,4.69822331361359,3.106385333046214,8.556553124533758,8.633141636719174,2.732829081821745
5,3.7658630430508193,4.39348538542175,5.213293707372938,6.664518430900109,10.592567273847331,0.7257678809232049
6,5.5792128155073915,4.895193220027732,5.001205475362224,8.486036289417637,7.295608368397225,3.0484826510505925
7,4.7674347291529084,4.635171801681969,4.182911368931809,6.452696011061635,9.37011544763619,2.4877748210843382
8,3.530525614065048,5.049552715319335,5.659245668432405,9.082691053887073,9.511726157548456,1.265766678028962
9,4.542560043585965,3.464764788439432,5.937570137626558,7.528875348182122,10.633326826071238,1.8584703626621526
10,3.5365823071875377,5.317394065634326,3.392440135631026,7.906363811260829,10.022630852676869,3.598321807641033
11,3.534270246429743,4.1975996046924,4.237275221433785,9.325796647542191,8.594436946143713,2.733547813505866
12,4.241962271566035,6.0752608726252655,4.230857650212702,6.7128364314157505,9.015006874182985,2.008783654898148
13,2.086719755342202,3.310812181910432,4.0600968988911355,6.6028818148870085,10.198680009547408,1.7623166830390158
14,2.2750821674869672,5.73596380316525,5.829474841931749,7.416400673653995,9.920932658135444,2.0766090704516595
15,3.437712470759027,4.197910783462648,4.8061738612271965,9.038378851019317,9.420875890364254,1.4882364420576966
17,4.314247332595274,3.5161141659456785,2.9961376355932465,5.167844401889431,10.69616799715929,4.042177910534731
18,3.091975924478789,3.6796526918056798,5.635418030209227,7.5488411415910015,9.482307427130785,2.1553249991994017
19,2.5876962986647083,4.424165946401916,3.7607416051465274,8.55174079991092,9.911908755970927,2.398147265122537
20,5.465648768921554,4.5228354880355,5.059932630266328,9.200261749738829,12.169936588080542,1.9420922501230913
21,3.774223699513464,3.426299996061421,5.277376937958191,7.536838637914601,8.576317363116077,1.264883199275412
22,4.067528204687924,3.9756454077390173,6.360658595838651,7.588573392883998,8.148157268425342,1.8140755190512292
23,2.575251813786543,6.142270358611864,3.691179600880888,9.153900734255748,10.783589664798606,0.4006052378056888
24,3.4556172754748173,5.727543170100711,1.9804878441791747,6.130258300304579,9.321356938705897,4.277086498053304
25,4.110922589709866,4.4363236696740325,5.183849544753695,7.611479224816991,9.681762472257379,0.765488001577604
26,2.8490064225776974,4.0380034781682,6.800511181510854,8.190423889925057,9.218843621868885,0.9680337161528205
27,4.3756980183456715,4.120031326718261,6.238946352939437,8.449218721285034,9.740199859232488,1.5597407956135996
28,3.3993613100811952,4.613517972730417,5.209659415274626,7.490193306809117,11.59853811209634,3.2880757248523773
29,3.708306250206723,2.9772074348015947,4.508363814367953,8.034441011705841,10.80212845861812,2.014508999262654
30,3.398293387770603,3.742623462576655,5.80712259663731,5.5116726465870105,10.862223511886977,0.7638642039695376
31,5.852278184508938,2.3314159261224106,4.026453800295531,7.341751587666152,8.583772944207354,3.2543383607573393
32,3.986502775262066,4.399223122605279,5.476357769356219,8.453508712554468,8.84884626344713,2.731000626785481
33,2.9422890710440996,4.647195939702741,5.505470159166627,7.0177059657453205,7.160921340514573,2.5384349572164524
34,4.822544912103189,3.516813537700626,6.06020990749888,8.058984221589597,9.190619178917245,2.7157342411708405
35,2.7791563500289778,5.573986763290033,7.759660038911077,8.446872500802698,10.956703186385658,4.394361900582451
36,4.208863595004756,2.774234336997659,5.392415967178767,7.657450799142235,10.516946515748371,4.185094895036112
37,2.040329876120224,2.53562511979018,4.491036374292501,8.170463770996571,9.778486737047876,1.3132846569967047
38,2.6718139511015693,4.224451818559972,4.974425687808005,7.037267434715388,9.977699716281947,3.6238849928111523
39,4.1968612358691235,5.047098302612154,3.2309240951108817,7.793388720303954,9.311114457424594,2.3831681897589005
40,4.738466579995411,5.6839276914578685,4.305286868910942,8.610216169589222,10.204758882401784,2.4990958161377494
41,4.17136828118997,3.5411157371310598,4.590717561886896,8.156972960968433,10.765878279480615,0.3077291683566714
